ticker,rf_status,rf_seconds,rf_error,xgb_status,xgb_seconds,xgb_error
MCO,success,0.45,,success,0.13,
MDLZ,success,0.46,,success,0.12,
MDT,success,0.46,,success,0.14,
MET,success,0.44,,success,0.14,
META,success,0.46,,success,0.13,
MGM,success,0.45,,success,0.13,
MKC,success,0.44,,success,0.13,
MLM,success,0.44,,success,0.13,
MMM,success,0.46,,success,0.13,
MNST,success,0.47,,success,0.15,
MO,success,0.45,,success,0.12,
MOH,success,0.45,,success,0.12,
MOS,success,0.46,,success,0.16,
MPC,success,0.48,,success,0.18,
MPWR,success,0.45,,success,0.13,
MRK,success,0.46,,success,0.12,
MRNA,success,0.5,,success,0.12,
MRSH,success,0.46,,success,0.13,
MS,success,0.46,,success,0.13,
MSCI,success,0.47,,success,0.12,
MSFT,success,0.47,,success,0.14,
MSI,success,0.46,,success,0.12,
MTB,success,0.47,,success,0.12,
MTCH,success,0.46,,success,0.16,
MTD,success,0.46,,success,0.14,
MU,success,0.47,,success,0.14,
NCLH,success,0.43,,success,0.13,
NDAQ,success,0.46,,success,0.13,
NDSN,success,0.46,,success,0.13,
NEE,success,0.45,,success,0.12,
NEM,success,0.45,,success,0.12,
NFLX,success,0.45,,success,0.12,
NI,success,0.46,,success,0.13,
NKE,success,0.5,,success,0.12,
NOC,success,0.45,,success,0.13,
NOW,success,0.45,,success,0.12,
NRG,success,0.46,,success,0.13,
NSC,success,0.46,,success,0.14,
NTAP,success,0.45,,success,0.12,
NTRS,success,0.46,,success,0.12,
NUE,success,0.46,,success,0.15,
NVDA,success,0.46,,success,0.12,
NVR,success,0.45,,success,0.12,
NWS,success,0.46,,success,0.12,
NWSA,success,0.48,,success,0.12,
NXPI,success,0.46,,success,0.13,
O,success,0.44,,success,0.13,
ODFL,success,0.48,,success,0.12,
OKE,success,0.45,,success,0.12,
OMC,success,0.45,,success,0.12,
ON,success,0.45,,success,0.12,
ORCL,success,0.45,,success,0.12,
ORLY,success,0.48,,success,0.12,
OTIS,success,0.46,,success,0.12,
OXY,success,0.44,,success,0.12,
PANW,success,0.45,,success,0.12,
PAYC,success,0.44,,success,0.12,
PAYX,success,0.44,,success,0.12,
PCAR,success,0.47,,success,0.15,
PCG,success,0.46,,success,0.14,
PEG,success,0.45,,success,0.14,
PEP,success,0.43,,success,0.15,
PFE,success,0.45,,success,0.13,
PFG,success,0.46,,success,0.14,
PG,success,0.44,,success,0.14,
PGR,success,0.45,,success,0.12,
PH,success,0.46,,success,0.12,
PHM,success,0.47,,success,0.13,
PKG,success,0.45,,success,0.12,
PLD,success,0.44,,success,0.13,
PLTR,success,0.45,,success,0.13,
PM,success,0.43,,success,0.13,
PNC,success,0.46,,success,0.13,
PNR,success,0.48,,success,0.12,
PNW,success,0.45,,success,0.14,
PODD,success,0.47,,success,0.13,
POOL,success,0.48,,success,0.14,
PPG,success,0.46,,success,0.12,
PPL,success,0.45,,success,0.13,
PRU,success,0.46,,success,0.14,
PSA,success,0.44,,success,0.13,
PSKY,success,0.46,,success,0.17,
PSX,success,0.45,,success,0.13,
PTC,success,0.45,,success,0.13,
PWR,success,0.45,,success,0.13,
PYPL,success,0.46,,success,0.12,
Q,failed,0.02,ValueError: Not enough rows after indicator warm-up to train model.,failed,0.02,ValueError: Not enough rows after indicator warm-up to train model.
QCOM,success,0.47,,success,0.12,
RCL,success,0.45,,success,0.13,
REG,success,0.43,,success,0.13,
REGN,success,0.49,,success,0.13,
RF,success,0.44,,success,0.14,
RJF,success,0.46,,success,0.13,
RL,success,0.45,,success,0.13,
RMD,success,0.43,,success,0.13,
ROK,success,0.45,,success,0.13,
ROL,success,0.44,,success,0.13,
ROP,success,0.44,,success,0.12,
ROST,success,0.47,,success,0.12,
RSG,success,0.44,,success,0.13,
RTX,success,0.44,,success,0.12,
RVTY,success,0.46,,success,0.12,
SBAC,success,0.46,,success,0.12,
SBUX,success,0.47,,success,0.12,
SCHW,success,0.47,,success,0.12,
SHW,success,0.46,,success,0.13,
SJM,success,0.45,,success,0.12,
SLB,success,0.46,,success,0.14,
SMCI,success,0.47,,success,0.14,
SNA,success,0.45,,success,0.12,
SNDK,success,0.27,,success,0.12,
SNPS,success,0.46,,success,0.12,
SO,success,0.44,,success,0.13,
SOLV,success,0.31,,success,0.13,
SPG,success,0.45,,success,0.14,
SPGI,success,0.46,,success,0.16,
SRE,success,0.44,,success,0.13,
STE,success,0.44,,success,0.13,
STLD,success,0.46,,success,0.13,
STT,success,0.47,,success,0.12,
STX,success,0.46,,success,0.12,
STZ,success,0.46,,success,0.12,
SW,success,0.43,,success,0.13,
SWK,success,0.46,,success,0.13,
SWKS,success,0.5,,success,0.13,
SYF,success,0.46,,success,0.12,
SYK,success,0.46,,success,0.13,
SYY,success,0.46,,success,0.12,
T,success,0.46,,success,0.13,
TAP,success,0.45,,success,0.13,
TDG,success,0.46,,success,0.13,
TDY,success,0.45,,success,0.12,
TECH,success,0.44,,success,0.13,
TEL,success,0.45,,success,0.12,
TER,success,0.46,,success,0.13,
TFC,success,0.46,,success,0.12,
TGT,success,0.44,,success,0.12,
TJX,success,0.46,,success,0.14,
TKO,success,0.45,,success,0.14,
TMO,success,0.46,,success,0.14,
TMUS,success,0.46,,success,0.13,
TPL,success,0.46,,success,0.13,
TPR,success,0.44,,success,0.12,
TRGP,success,0.43,,success,0.13,
TRMB,success,0.44,,success,0.12,
TROW,success,0.45,,success,0.15,
TRV,success,0.44,,success,0.13,
TSCO,success,0.45,,success,0.14,
TSLA,success,0.46,,success,0.14,
TSN,success,0.47,,success,0.13,
TT,success,0.45,,success,0.12,
TTD,success,0.45,,success,0.13,
TTWO,success,0.45,,success,0.12,
TXN,success,0.45,,success,0.13,
TXT,success,0.45,,success,0.13,
TYL,success,0.47,,success,0.12,
UAL,success,0.44,,success,0.13,
UBER,success,0.45,,success,0.13,
UDR,success,0.44,,success,0.13,
UHS,success,0.44,,success,0.13,
ULTA,success,0.46,,success,0.12,
UNH,success,0.46,,success,0.13,
UNP,success,0.44,,success,0.12,
UPS,success,0.45,,success,0.13,
URI,success,0.47,,success,0.13,
USB,success,0.47,,success,0.13,
V,success,0.45,,success,0.13,
VICI,success,0.47,,success,0.14,
VLO,success,0.44,,success,0.12,
VLTO,success,0.33,,success,0.12,
VMC,success,0.45,,success,0.14,
VRSK,success,0.46,,success,0.15,
VRSN,success,0.46,,success,0.14,
VRTX,success,0.45,,success,0.14,
VST,success,0.46,,success,0.13,
VTR,success,0.45,,success,0.13,
VTRS,success,0.45,,success,0.14,
VZ,success,0.45,,success,0.12,
WAB,success,0.45,,success,0.13,
WAT,success,0.46,,success,0.14,
WBD,success,0.51,,success,0.13,
WDAY,success,0.47,,success,0.13,
WDC,success,0.47,,success,0.13,
WEC,success,0.46,,success,0.14,
WELL,success,0.46,,success,0.13,
WFC,success,0.44,,success,0.13,
WM,success,0.44,,success,0.14,
WMB,success,0.42,,success,0.13,
WMT,success,0.46,,success,0.12,
WRB,success,0.6,,success,0.16,
WSM,success,0.46,,success,0.13,
WST,success,0.47,,success,0.13,
WTW,success,0.48,,success,0.13,
WY,success,0.46,,success,0.13,
WYNN,success,0.46,,success,0.12,
XEL,success,0.46,,success,0.12,
XOM,success,0.46,,success,0.14,
XYL,success,0.46,,success,0.14,
XYZ,success,0.51,,success,0.15,
YUM,success,0.49,,success,0.15,
ZBH,success,0.54,,success,0.23,
ZBRA,success,0.52,,success,0.17,
ZTS,success,0.49,,success,0.14,
